"gender","yb","province","db","mb","educ"
"MALE","1965","Dolnoslaskie","16","7","VOCATIONAL"
"FEMALE","1952","Dolnoslaskie","2","8","PRIMARY COMPLETED"
"MALE","1953","Dolnoslaskie","22","2","VOCATIONAL"
"MALE","1971","Dolnoslaskie","19","3","VOCATIONAL"
"FEMALE","1946","Dolnoslaskie","25","4","SECONDARY VOCATIONAL"
"FEMALE","1982","Dolnoslaskie","19","7","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1967","Dolnoslaskie","18","9","SECONDARY GENERAL"
"MALE","1951","Dolnoslaskie","23","2","PRIMARY COMPLETED"
"FEMALE","1958","Dolnoslaskie","11","6","VOCATIONAL"
"MALE","1955","Kujawsko-pomorskie","11","2","VOCATIONAL"
"MALE","1968","Kujawsko-pomorskie","21","9","SECONDARY VOCATIONAL"
"FEMALE","1953","Kujawsko-pomorskie","20","8","VOCATIONAL"
"MALE","1964","Kujawsko-pomorskie","13","9","VOCATIONAL"
"MALE","1993","Kujawsko-pomorskie","13","2","GRAMMAR"
"FEMALE","1940","Kujawsko-pomorskie","23","12","PRIMARY COMPLETED"
"MALE","1985","Kujawsko-pomorskie","5","1","SECONDARY GENERAL"
"MALE","1963","Kujawsko-pomorskie","5","10","PRIMARY COMPLETED"
"FEMALE","1989","Kujawsko-pomorskie","22","4","SECONDARY GENERAL"
"FEMALE","1979","Kujawsko-pomorskie","26","3","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1971","Kujawsko-pomorskie","27","1","PRIMARY COMPLETED"
"MALE","1956","Kujawsko-pomorskie","17","9","VOCATIONAL"
"FEMALE","1993","Kujawsko-pomorskie","8","3","GRAMMAR"
"MALE","1961","Kujawsko-pomorskie","8","1","VOCATIONAL"
"FEMALE","1927","Kujawsko-pomorskie","18","10","NO EDUCATION/PRIMARY NOT COMPLETED"
"FEMALE","1971","Kujawsko-pomorskie","30","10","VOCATIONAL"
"MALE","1966","Kujawsko-pomorskie","8","9","SECONDARY VOCATIONAL"
"FEMALE","1975","Kujawsko-pomorskie","17","5","SECONDARY GENERAL"
"MALE","1928","Kujawsko-pomorskie","25","11","PRIMARY COMPLETED"
"MALE","1985","Kujawsko-pomorskie","20","1","POST-SECONDARY"
"MALE","1970","Lodzkie","14","7","VOCATIONAL"
"MALE","1968","Lodzkie","1","3","VOCATIONAL"
"MALE","1950","Lodzkie","12","1","PRIMARY COMPLETED"
"MALE","1927","Lodzkie","27","4","PRIMARY COMPLETED"
"FEMALE","1979","Lodzkie","25","7","SECONDARY VOCATIONAL"
"MALE","1954","Lodzkie","17","3","SECONDARY VOCATIONAL"
"MALE","1933","Lodzkie","20","7","PRIMARY COMPLETED"
"MALE","1930","Lodzkie","30","5","PRIMARY COMPLETED"
"FEMALE","1932","Lodzkie","15","10","SECONDARY GENERAL"
"FEMALE","1948","Lodzkie","8","6","VOCATIONAL"
"FEMALE","1938","Lodzkie","29","3","VOCATIONAL"
"MALE","1959","Lodzkie","5","7","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1950","Lodzkie","30","9","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1994","Lodzkie","18","8","GRAMMAR"
"FEMALE","1964","Lodzkie","4","3","SECONDARY VOCATIONAL"
"MALE","1963","Lodzkie","13","1","POST-SECONDARY"
"FEMALE","1946","Lubelskie","27","10","SECONDARY VOCATIONAL"
"MALE","1986","Lubelskie","30","6","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1945","Lubelskie","1","3","SECONDARY VOCATIONAL"
"MALE","1987","Lubelskie","6","6","SECONDARY VOCATIONAL"
"FEMALE","1985","Lubelskie","16","4","POST-SECONDARY"
"FEMALE","1961","Lubelskie","29","7","SECONDARY VOCATIONAL"
"FEMALE","1957","Lubelskie","28","6","POST-SECONDARY"
"FEMALE","1973","Lubelskie","25","11","SECONDARY GENERAL"
"FEMALE","1963","Lubelskie","20","7","VOCATIONAL"
"FEMALE","1951","Lubelskie","6","10","PRIMARY COMPLETED"
"FEMALE","1968","Lubelskie","22","8","PRIMARY COMPLETED"
"MALE","1994","Lubelskie","21","8","GRAMMAR"
"FEMALE","1954","Lubelskie","3","6","VOCATIONAL"
"FEMALE","1987","Lubelskie","31","7","SECONDARY VOCATIONAL"
"FEMALE","1990","Lubelskie","5","4","SECONDARY VOCATIONAL"
"FEMALE","1949","Lubelskie","11","12","SECONDARY VOCATIONAL"
"FEMALE","1973","Lubelskie","6","2","VOCATIONAL"
"FEMALE","1959","Lubelskie","27","9","SECONDARY VOCATIONAL"
"FEMALE","1993","Lubelskie","23","12","GRAMMAR"
"FEMALE","1983","Lubuskie","5","8","VOCATIONAL"
"MALE","1981","Lubuskie","11","5","VOCATIONAL"
"FEMALE","1979","Lubuskie","12","10","SECONDARY VOCATIONAL"
"MALE","1993","Lubuskie","1","4","GRAMMAR"
"FEMALE","1971","Lubuskie","13","2","VOCATIONAL"
"FEMALE","1993","Lubuskie","20","5","GRAMMAR"
"FEMALE","1992","Lubuskie","19","4","GRAMMAR"
"FEMALE","1976","Lubuskie","8","9","VOCATIONAL"
"MALE","1957","Lubuskie","12","8","SECONDARY VOCATIONAL"
"MALE","1991","Lubuskie","24","1","SECONDARY GENERAL"
"FEMALE","1933","Lubuskie","19","9","PRIMARY COMPLETED"
"FEMALE","1986","Lubuskie","18","12","POST-SECONDARY"
"FEMALE","1964","Lubuskie","9","11","SECONDARY GENERAL"
"MALE","1957","Lubuskie","19","9","VOCATIONAL"
"FEMALE","1938","Lubuskie","14","3","PRIMARY COMPLETED"
"FEMALE","1934","Lubuskie","16","4","PRIMARY COMPLETED"
"FEMALE","1955","Lubuskie","23","1","VOCATIONAL"
"MALE","1962","Malopolskie","4","4","VOCATIONAL"
"MALE","1992","Malopolskie","30","11","GRAMMAR"
"MALE","1993","Malopolskie","29","11","GRAMMAR"
"FEMALE","1968","Malopolskie","27","11","VOCATIONAL"
"FEMALE","1957","Malopolskie","2","3","SECONDARY VOCATIONAL"
"MALE","1990","Malopolskie","20","1","SECONDARY VOCATIONAL"
"MALE","1966","Malopolskie","27","7","PRIMARY COMPLETED"
"MALE","1938","Malopolskie","3","5","VOCATIONAL"
"MALE","1969","Malopolskie","11","9","SECONDARY VOCATIONAL"
"MALE","1927","Malopolskie","2","10","SECONDARY VOCATIONAL"
"MALE","1992","Malopolskie","12","12","GRAMMAR"
"MALE","1951","Mazowieckie","14","4","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"FEMALE","1957","Mazowieckie","13","4","SECONDARY GENERAL"
"MALE","1957","Mazowieckie","23","5","PRIMARY COMPLETED"
"MALE","1934","Mazowieckie","14","3","HIGHER WITH MASTER`S DEGREE OR EQUAL"
"MALE","1967","Mazowieckie","2","6","VOCATIONAL"
"FEMALE","1959","Mazowieckie","21","5","PRIMARY COMPLETED"
"FEMALE","1951","Mazowieckie","11","1","SECONDARY VOCATIONAL"
"MALE","1963","Mazowieckie","11","4","VOCATIONAL"
"FEMALE","1948","Mazowieckie","14","8","PRIMARY COMPLETED"
"FEMALE","1988","Mazowieckie","28","7","SECONDARY GENERAL"
"FEMALE","1965","Mazowieckie","24","7","SECONDARY VOCATIONAL"
"FEMALE","1925","Mazowieckie","25","3","SECONDARY GENERAL"
"MALE","1981","Mazowieckie","6","9","HIGHER WITH ENGINEERING OR BACHELOR`S DEGREE"
"FEMALE","1933","Mazowieckie","23","4","PRIMARY COMPLETED"
"MALE","1963","Mazowieckie","24","10","POST-SECONDARY"
"FEMALE","1954","Opolskie","20","2","VOCATIONAL"
"FEMALE","1991","Opolskie","26","4","SECONDARY GENERAL"
"FEMALE","1962","Opolskie","20","10","VOCATIONAL"
"FEMALE","1963","Opolskie","1","9","PRIMARY COMPLETED"
"MALE","1973","Opolskie","6","8","PRIMARY COMPLETED"
"MALE","1947","Opolskie","2","5","VOCATIONAL"
"FEMALE","1936","Opolskie","21","10","PRIMARY COMPLETED"
"MALE","1972","Opolskie","9","4","VOCATIONAL"
"MALE","1988","Opolskie","10","9","SECONDARY GENERAL"
"MALE","1966","Opolskie","10","7","HIGHER WITH MASTER`S DEGREE OR EQUAL"
