EBMNTH,TBYEAR,ESEX,ERACE,TFIPSST
8,1978,MALE,Residual,California
6,1932,MALE,White alone,Florida
7,1958,FEMALE,Black alone,Florida
9,1931,MALE,White alone,Florida
3,1968,MALE,Residual,Louisiana
5,1979,FEMALE,White alone,Louisiana
4,1950,FEMALE,Black alone,Pennsylvania
9,1972,FEMALE,Black alone,Louisiana
3,1968,MALE,White alone,Florida
8,1983,FEMALE,White alone,Florida
8,1966,MALE,White alone,Florida
12,1941,MALE,White alone,Pennsylvania
4,1961,FEMALE,White alone,Florida
4,1987,FEMALE,Black alone,Florida
11,1976,FEMALE,White alone,Florida
12,1952,FEMALE,White alone,Florida
5,1990,FEMALE,White alone,Florida
8,1939,MALE,White alone,Nevada
12,1941,MALE,White alone,Pennsylvania
3,1957,FEMALE,White alone,Florida
6,1962,MALE,White alone,Florida
11,1975,MALE,White alone,Pennsylvania
12,1954,FEMALE,White alone,Louisiana
5,1987,MALE,White alone,Pennsylvania
3,1930,MALE,White alone,Missouri
6,1961,FEMALE,White alone,Ohio
4,1959,FEMALE,White alone,Iowa
9,1969,FEMALE,White alone,Iowa
12,1963,MALE,White alone,Missouri
4,1949,MALE,White alone,Iowa
4,1936,MALE,White alone,Ohio
12,1925,MALE,White alone,Ohio
6,1987,MALE,White alone,Utah
2,1926,MALE,White alone,Ohio
8,1955,MALE,White alone,Connecticut
6,1927,MALE,White alone,Ohio
8,1946,FEMALE,White alone,Ohio
5,1955,FEMALE,White alone,Ohio
12,1969,FEMALE,White alone,Ohio
1,1988,MALE,Black alone,Connecticut
8,1920,FEMALE,White alone,Ohio
1,1964,FEMALE,Black alone,Illinois
2,1962,FEMALE,White alone,Illinois
7,1920,MALE,White alone,Illinois
8,1955,FEMALE,White alone,North Carolina
8,1941,MALE,White alone,Tennessee
9,1959,MALE,White alone,Tennessee
11,1966,MALE,White alone,Georgia
1,1989,FEMALE,White alone,North Carolina
10,1970,FEMALE,White alone,North Carolina
2,1950,FEMALE,White alone,Illinois
12,1965,MALE,White alone,Tennessee
5,1988,MALE,White alone,Minnesota
4,1971,MALE,White alone,North Carolina
10,1950,MALE,White alone,Minnesota
3,1974,MALE,White alone,Minnesota
5,1931,MALE,White alone,Minnesota
11,1990,FEMALE,White alone,Illinois
6,1920,FEMALE,White alone,North Carolina
4,1972,FEMALE,White alone,Minnesota
8,1984,FEMALE,White alone,Ohio
8,1953,FEMALE,White alone,Missouri
2,1949,MALE,Residual,Missouri
1,1947,MALE,White alone,Iowa
4,1933,FEMALE,Black alone,Ohio
9,1948,FEMALE,White alone,Tennessee
9,1935,FEMALE,Black alone,Missouri
11,1953,FEMALE,White alone,Ohio
1,1954,MALE,White alone,Ohio
10,1984,FEMALE,White alone,Ohio
9,1964,FEMALE,White alone,Utah
4,1925,FEMALE,White alone,Ohio
7,1920,FEMALE,White alone,Connecticut
11,1967,FEMALE,Black alone,Connecticut
12,1989,MALE,White alone,Ohio
8,1970,FEMALE,White alone,Iowa
11,1946,FEMALE,White alone,Iowa
10,1986,MALE,White alone,Utah
9,1987,FEMALE,White alone,Ohio
9,1984,FEMALE,White alone,Arkansas
11,1924,FEMALE,White alone,Arkansas
5,1961,FEMALE,White alone,Arkansas
2,1959,MALE,White alone,Arkansas
11,1961,MALE,White alone,New Mexico
7,1942,FEMALE,Black alone,South Carolina
2,1985,MALE,White alone,Massachusetts
2,1956,MALE,White alone,Massachusetts
7,1944,FEMALE,White alone,Massachusetts
8,1970,MALE,White alone,Wisconsin
12,1932,FEMALE,White alone,Massachusetts
6,1982,FEMALE,White alone,Massachusetts
10,1969,MALE,White alone,Virginia
1,1990,FEMALE,White alone,Massachusetts
2,1954,FEMALE,White alone,South Carolina
12,1953,FEMALE,White alone,New Mexico
2,1950,MALE,White alone,South Carolina
5,1985,MALE,Black alone,Wisconsin
12,1981,MALE,Black alone,Wisconsin
4,1948,FEMALE,White alone,Massachusetts
5,1931,FEMALE,White alone,South Carolina
9,1943,MALE,White alone,South Carolina
6,1926,FEMALE,White alone,Massachusetts
11,1959,MALE,White alone,Wisconsin
2,1978,FEMALE,Asian alone,South Carolina
8,1977,FEMALE,White alone,Florida
10,1985,FEMALE,White alone,Florida
11,1990,FEMALE,Black alone,Florida
1,1937,FEMALE,White alone,Florida
7,1962,MALE,White alone,Florida
7,1951,FEMALE,White alone,Pennsylvania
11,1958,MALE,White alone,Pennsylvania
2,1959,FEMALE,White alone,Florida
5,1936,MALE,Black alone,Florida
12,1921,FEMALE,White alone,Pennsylvania
10,1946,FEMALE,Black alone,Florida
8,1942,MALE,Black alone,Louisiana
1,1984,FEMALE,White alone,Florida
3,1965,MALE,White alone,Florida
4,1971,FEMALE,White alone,Virginia
9,1930,FEMALE,White alone,Louisiana
1,1969,MALE,White alone,Pennsylvania
6,1955,FEMALE,White alone,Florida
6,1963,FEMALE,Black alone,Texas
9,1974,FEMALE,White alone,Arizona
11,1941,MALE,White alone,Arizona
6,1981,FEMALE,Black alone,Virginia
11,1983,FEMALE,White alone,West Virginia
1,1939,FEMALE,White alone,Arizona
10,1937,MALE,White alone,Maryland
2,1930,FEMALE,White alone,New Jersey
11,1925,FEMALE,Black alone,New Jersey
2,1928,MALE,White alone,New Jersey
2,1962,MALE,White alone,New Jersey
6,1958,FEMALE,Black alone,Rhode Island
4,1949,MALE,White alone,Arizona
