token,known
A,0
AAOO,0
ABARCA,1
ABDELIO,1
ABEL,1
ABELARDO,1
ABELIA,1
ABELINA,1
ABELINO,1
ABENTURA,1
ABIGAIL,1
ABILIO,1
ABRAAM,1
ABRAN,0
ACSIDES,0
AD,0
ADA,1
ADALBERTO,1
ADALSERTO,0
ADAM,0
ADAN,1
ADEIAIDA,0
ADELA,1
ADELAIDA,1
ADELAYOA,0
ADELFA,1
ADELIO,1
ADELSO,1
ADEU,0
ADIS,1
ADO,0
ADOLFO,1
ADOLIO,1
ADONAI,1
ADONIS,1
ADRIAN,1
AGAPE,1
AGAPITO,1
AGATONA,1
AGRIPIA,0
AGRIPINA,1
AGRUTINA,0
AGUST,0
AGUSTI,0
AGUSTIM,0
AGUSTIN,1
AGUSTINA,1
AGUSTO,0
AIDE,0
AIDEE,1
AINTA,0
AJ5AN,0
AKIA,0
ALARO,0
ALBA,1
ALBARO,1
ALBERTA,1
ALBERTINA,1
ALBERTO,1
ALBINO,1
ALCNSO,0
ALEJANDRA,1
ALEJANDRO,1
ALEJANORA,0
ALEX,0
ALEXANDER,1
ALFARO,1
ALFONSO,1
ALFREDO,1
ALIRIO,1
ALISANDRO,1
ALISIA,1
ALONSO,1
ALOSO,0
ALOWSO,0
ALSERTINA,0
ALSIDES,1
AMABEL,1
AMADA,1
AMADEO,1
AMADO,1
AMALIA,1
AMANDA,1
AMANDO,1
AMAOEO,0
AMAOO,0
AMBROSIO,1
AMELIA,1
AMELIDA,0
AMELIO,1
AMERENSIANO,1
AMERICA,1
AMERICO,1
AMILCAR,1
AMINTA,1
AMPARO,1
AMSROSIO,0
AMTCMIO,0
AMTCNIO,0
AMTONIA,0
AN,0
ANA,1
ANABEL,1
ANACLETO,1
ANADETO,0
ANAI,0
ANARJELIA,0
ANASTASIA,1
ANASTASIO,1
ANATOLIO,1
ANCHETO,0
ANDREA,1
ANDRES,1
ANGCLITO,0
ANGUEL,0
ANIBAL,1
ANISAL,0
ANISETO,1
ANITA,0
ANJEL,1
ANJELA,1
ANJELES,0
ANJELICA,1
ANJELINA,1
ANJELINO,1
ANJELITA,0
ANJELITO,0
ANJEU,0
ANNA,0
ANORES,0
ANS,0
ANSELMA,1
ANSELMO,1
ANTCMIO,0
ANTCNIA,0
ANTCNIO,0
ANTGMIO,0
ANTOIO,0
ANTOLIN,0
ANTOMIO,0
ANTONIA,1
ANTONIO,1
ANTULIO,1
AOADN,0
AOAN,0
AOCLFO,0
AOELA,0
AOOFO,0
AOUILINA,0
APARISIO,1
APOLINARIA,1
APOLINARIO,1
APOLONIA,1
AQUILEO,1
AQUILINA,1
AQUILINO,1
ARBEL,0
ARCADIO,1
ARCHIMEDES,1
ARELI,1
ARIA,0
ARISTIDES,1
ARISTIOES,0
ARJELIA,1
ARJENTINA,1
ARMANDO,1
ARNOLDO,1
ARNOLOO,0
ARNUIFO,0
ARNULDO,0
ARNULFO,1
ARSENIO,1
ARTULANO,1
ARTURO,1
AS,0
ASELINO,1
ASENSICM,0
