"CODE1","CODE2"
1217,430
1217,814
1319,108
1319,423
1319,424
1319,809
1319,1119
104,406
104,416
104,706
104,1104
104,1305
104,1403
108,423
108,424
108,809
108,1119
109,1008
110,710
110,815
110,816
201,212
201,701
206,313
206,807
206,815
208,311
208,420
208,421
208,807
208,1213
209,1009
211,1416
212,615
212,819
212,1121
311,420
311,421
311,705
311,807
311,1213
313,807
313,815
313,1006
314,1005
401,418
406,416
406,512
406,706
406,1104
406,1305
406,1403
408,415
408,818
408,1120
408,1121
410,806
413,1216
416,417
416,706
416,1104
416,1112
416,1305
416,1210
416,1403
416,1411
417,1112
417,1210
417,1411
420,421
420,713
420,714
420,807
420,1213
421,807
421,1213
422,1318
423,424
423,809
423,1119
424,809
424,1119
426,905
426,1320
427,428
427,514
427,709
427,1415
428,514
428,709
428,1415
429,703
429,822
429,1216
429,1405
429,813
430,804
430,814
430,1111
431,711
431,817
431,1218
501,510
502,1202
510,1211
514,709
514,1415
515,705
515,810
515,811
515,812
515,1211
611,704
611,802
611,1307
615,819
615,1121
703,1405
704,802
704,1307
705,810
705,811
705,812
705,1211
706,1104
706,1305
706,1403
709,1415
710,815
710,816
711,817
711,1218
713,714
802,1307
804,1111
807,815
807,1213
809,1119
809,1205
810,811
810,812
810,816
810,819
810,1211
811,812
811,1211
811,813
812,814
812,1211
815,816
816,819
817,1218
818,1120
818,1121
819,1121
822,1216
822,813
905,1320
1002,1210
1104,1305
1104,1403
1105,1114
1112,1210
1112,1411
1120,1121
1305,1403
1314,1410
1210,1411
1216,813
1218,1403
