MUNI1,MUNI2
CANDELARIA DE LA FRONTERA,SANTA ANA
CANDELARIA DE LA FRONTERA,EL PORVENIR
CHALCHUAPA,CANDELARIA DE LA FRONTERA
GUATEMALA,CANDELARIA DE LA FRONTERA
GUATEMALA,SANTIAGO DE LA FRONTERA
GUATEMALA,SAN ANTONIO PAJONAL
METAPAN,TEXISTEPEQUE
CANDELARIA DE LA FRONTERA,TEXISTEPEQUE
SAN ANTONIO PAJONAL,TEXISTEPEQUE
SANTIAGO DE LA FRONTERA,SAN ANTONIO PAJONAL
SAN ANTONIO PAJONAL,CANDELARIA DE LA FRONTERA
CANDELARIA DE LA FRONTERA,SANTIAGO DE LA FRONTERA
GUATEMALA,METAPAN
GUATEMALA,CHALCHUAPA
SANTA ANA,EL CONGO
METAPAN,MASAHUAT
METAPAN,SANTA ROSA GUACHIPILIN
SANTA ROSA GUACHIPILIN,MASAHUAT
SANTA ROSA GUACHIPILIN,NUEVA CONCEPCION
MASAHUAT,TEXISTEPEQUE
MASAHUAT,NUEVA CONCEPCION
TEXISTEPEQUE,NUEVA CONCEPCION
TEXISTEPEQUE,SANTA ANA
SANTA ANA,NUEVA CONCEPCION
SANTA ANA,COATEPEQUE
COATEPEQUE,SAN JUAN OPICO
EL CONGO,COATEPEQUE
COATEPEQUE,CIUDAD ARCE
SAN SEBASTIAN SALITRILLO,SANTA ANA
CHALCHUAPA,SAN SEBASTIAN SALITRILLO
EL PORVENIR,SAN SEBASTIAN SALITRILLO
CHALCHUAPA,EL PORVENIR
EL PORVENIR,SANTA ANA
CHALCHUAPA,SANTA ANA
AHUACHAPAN,APANECA
CONCEPCION DE ATACO,GUAYMANGO
CONCEPCION DE ATACO,SAN PEDRO PUXTLA
SANTA CATARINA MASAHUAT,NAHUIZALCO
SALCOATITAN,SANTA CATARINA MASAHUAT
IZALCO,SONSONATE
LA PALMA,AGUA CALIENTE
SAN IGNACIO,LA PALMA
LA PALMA,SAN FERNANDO
LA PALMA,TEJUTLA
TEJUTLA,LAS VUELTAS
TEJUTLA,SAN FRANCISCO MORAZAN
LA REINA,SAN FRANCISCO MORAZAN
LA PALMA,LA REINA
SAN FERNANDO,DULCE NOMBRE DE MARIA
SAN FRANCISCO MORAZAN,DULCE NOMBRE DE MARIA
NUEVA CONCEPCION,AGUA CALIENTE
AGUA CALIENTE,LA REINA
NUEVA CONCEPCION,LA REINA
LA REINA,TEJUTLA
NUEVA CONCEPCION,TEJUTLA
TEJUTLA,EL PARAISO
TEJUTLA,EL PAISNAL
EL PARAISO,SAN RAFAEL
SAN FRANCISCO MORAZAN,SAN RAFAEL
DULCE NOMBRE DE MARIA,SAN RAFAEL
SAN RAFAEL,SANTA RITA
DULCE NOMBRE DE MARIA,SANTA RITA
DULCE NOMBRE DE MARIA,LA LAGUNA
DULCE NOMBRE DE MARIA,COMALAPA
COMALAPA,LA LAGUNA
LA LAGUNA,EL CARRIZAL
EL CARRIZAL,OJOS DE AGUA
CONCEPCION QUEZALTEPEQUE,OJOS DE AGUA
LA LAGUNA,CONCEPCION QUEZALTEPEQUE
SANTA RITA,COMALAPA
SANTA RITA,CONCEPCION QUEZALTEPEQUE
SANTA RITA,CHALATENANGO
CONCEPCION QUEZALTEPEQUE,CHALATENANGO
EL PARAISO,SANTA RITA
CHALATENANGO,AZACUALPA
CHALATENANGO,SAN MIGUEL DE MERCEDES
CHALATENANGO,SAN FRANCISCO LEMPA
SAN FRANCISCO LEMPA,SAN LUIS DEL CARMEN
AZACUALPA,SAN FRANCISCO LEMPA
AZACUALPA,SAN LUIS DEL CARMEN
SAN MARTIN,ORATORIO DE CONCEPCION
SAN MIGUEL DE MERCEDES,SAN LUIS DEL CARMEN
SAN MIGUEL DE MERCEDES,POTONICO
SAN MIGUEL DE MERCEDES,SAN ANTONIO LOS RANCHOS
SAN LUIS DEL CARMEN,POTONICO
SAN ANTONIO LOS RANCHOS,POTONICO
SAN ANTONIO LOS RANCHOS,SAN ISIDRO LABRADOR
POTONICO,SAN JOSE CANCASQUE
CHALATENANGO,SAN ISIDRO LABRADOR
CHALATENANGO,SAN ANTONIO LOS RANCHOS
LAS VUELTAS,SAN JOSE LAS FLORES
CHALATENANGO,LAS VUELTAS
OJOS DE AGUA,LAS VUELTAS
OJOS DE AGUA,NUEVA TRINIDAD
OJOS DE AGUA,SAN JOSE LAS FLORES
SAN JOSE LAS FLORES,NUEVA TRINIDAD
NUEVA TRINIDAD,SAN ANTONIO DE LA CRUZ
SAN ISIDRO LABRADOR,SAN ANTONIO DE LA CRUZ
SAN ANTONIO DE LA CRUZ,NOMBRE DE JESUS
SAN ISIDRO LABRADOR,SAN JOSE CANCASQUE
SAN JOSE CANCASQUE,SAN ANTONIO DE LA CRUZ
TEJUTLA,SUCHITOTO
EL PARAISO,SUCHITOTO
SANTA RITA,SUCHITOTO
CHALATENANGO,SUCHITOTO
SAN FRANCISCO LEMPA,SUCHITOTO
SAN LUIS DEL CARMEN,SUCHITOTO
SAN PABLO TACACHICO,SAN JUAN OPICO
SAN PABLO TACACHICO,SAN MATIAS
SAN JUAN OPICO,SAN MATIAS
SAN MATIAS,QUEZALTEPEQUE
QUEZALTEPEQUE,AGUILARES
CIUDAD ARCE,SAN JUAN OPICO
CIUDAD ARCE,SACACOYO
CIUDAD ARCE,COLON
SAN JUAN OPICO,COLON
QUEZALTEPEQUE,SAN JUAN OPICO
SACACOYO,COLON
COLON,JAYAQUE
TALNIQUE,COLON
SACACOYO,TEPECOYO
SACACOYO,JAYAQUE
TEPECOYO,JAYAQUE
JAYAQUE,TALNIQUE
SANTA TECLA,TALNIQUE
COLON,SANTA TECLA
NEJAPA,MEJICANOS
TEOTEPEQUE,JICALAPA
TEOTEPEQUE,CHILTIUPAN
TEPECOYO,TEOTEPEQUE
JAYAQUE,TEOTEPEQUE
JAYAQUE,CHILTIUPAN
TALNIQUE,TAMANIQUE
JAYAQUE,TAMANIQUE
CHILTIUPAN,TAMANIQUE
JICALAPA,CHILTIUPAN
TAMANIQUE,COMASAGUA
TAMANIQUE,LA LIBERTAD
SANTA TECLA,LA LIBERTAD
ZARAGOZA,LA LIBERTAD
SAN JOSE VILLANUEVA,LA LIBERTAD
ZARAGOZA,SAN JOSE VILLANUEVA
SAN JOSE VILLANUEVA,HUIZUCAR
SANTA TECLA,ZARAGOZA
HUIZUCAR,LA LIBERTAD
COMASAGUA,SANTA TECLA
SANTA TECLA,NUEVO CUSCATLAN
NUEVO CUSCATLAN,ANTIGUO CUSCATLAN
SANTA TECLA,ANTIGUO CUSCATLAN
SANTA TECLA,SAN JOSE VILLANUEVA
