"token","known"
"ABALOS",1
"ABARCA",1
"ABARRO",0
"ABAS",0
"ABELAR",1
"ABENOANO",0
"ABEUR",0
"ABILES",1
"ABREGO",1
"ABRIGO",0
"ACOSTA",1
"ADAM",0
"AGAMA",1
"AGUILAR",1
"AGUILERA",1
"AGUINADA",1
"AGUIRRE",1
"AGUIUR",0
"AJANO",0
"ALARCON",1
"ALAS",1
"ALBARADO",1
"ALBARAOO",0
"ALBARENGA",1
"ALBARES",1
"ALBERTO",1
"ALCANA",1
"ALEAN",0
"ALEGRIA",1
"ALEMAN",1
"ALFARO",1
"ALMENDARIS",1
"ALOANA",0
"ALONSO",1
"ALTAMIRANO",1
"AMAYA",1
"ANAYA",0
"ANDASOL",1
"ANDINO",1
"ANDON",1
"ANDRADE",1
"ANDRADES",0
"ANDRES",1
"ANOASOL",0
"ANRIQUE",0
"AOEBAMO",0
"AQUINO",1
"ARAGO",0
"ARAGON",1
"ARAUJO",1
"ARDCN",0
"ARDON",1
"AREBAL",0
"AREBALO",1
"ARGUETA",1
"ARIAS",1
"AROON",0
"ARREAGA",1
"ARRIAGA",1
"ARROQUIN",0
"ARSE",1
"ARSIA",1
"ARTIGA",1
"ARTIGAS",1
"ASAARES",0
"ASEBEDO",1
"ASEBEOO",0
"ASENAO",0
"ASENSIO",1
"ASREGO",0
"ASTORGA",1
"ASTURIA",1
"ASTURIAS",1
"ASUSEA",0
"AUS",1
"AYAIA",0
"AYALA",1
"AYANA",1
"AYAU",0
"BAIDRES",0
"BAIORES",0
"BAIRE",1
"BAIRES",1
"BALENSIA",1
"BALOIBIESO",0
"BAQUEDANO",1
"BAQUERANO",0
"BARA",1
"BARAONA",1
"BARDALES",1
"BAREL",1
"BARELA",1
"BAREU",1
"BARGAS",1
"BARIYAS",1
"BARRERA",1
"BARRERAS",1
"BASCUES",0
"BASOJES",0
"BASOUES",0
"BASQUES",1
"BATEO",1
"BATES",1
"BATRES",0
"BAUTISTA",1
"BAYADARES",1
"BAYADARIS",0
"BAYADORES",0
"BAYAOARES",0
"BAYAOORES",0
"BAYE",1
"BAYES",1
"BCNIYA",0
"BEFTMUOES",0
"BEGA",1
"BEITRAN",0
"BELASCO",1
"BELASOUES",0
"BELASQUES",1
"BELIS",1
"BELTAM",0
"BELTAN",0
"BELTRAN",1
"BENABIDES",1
"BENITES",1
"BENTURA",1
"BERGANSA",1
"BERIAS",1
"BERMUDES",1
"BERMUOES",0
"BERNA",1
"BERNABE",1
"BERRIOS",1
"BERRIYO",0
"BERUOES",0
"BETAMCURT",0
"BEYOS",0
"BEYOSO",1
"BIBAR",1
"BIBAS",1
"BIDES",1
"BIJIL",1
"BILULTA",1
"BILUNUEBA",0
"BILUS",1
"BILUTCROS",0
"BILUTORO",0
"BILUTOROS",0
"BIOAL",0
"BISCARRA",1
"BIUDA",0
"BIYACORTA",1
"BIYAFRANCO",1
"BIYAGRAN",1
"BIYALOBOS",1
"BIYALOSAS",0
"BIYALOSOS",0
"BIYALTA",1
"BIYANUABA",0
"BIYANUEBA",1
"BIYEDAS",1
"BIYEGA",0
"BIYEGAS",1
"BJSMAN",0
"BLANCO",1
"BOLANO",1
"BOLANOS",1
"BONILU",0
"BONITO",1
"BONIYA",1
"BONSYA",0
"BORJA",1
"BOSOGLIO",1
"BRABO",1
"BRISUELA",1
"BRISUELO",0
"BRUNO",1
"BURGOS",1
"BUSTIYOS",1
"CABAYERO",1
"CABRERA",1
"CAFLENGUES",0
"CALDERON",1
"CALERO",1
"CALESO",0
"CALOERON",0
"CAMIYA",1
"CAMPOS",1
"CANAS",1
"CANEMGUES",0
"CANENGUES",1
"CANISALES",1
"CANOIOO",0
"CARABAMTE",0
"CARABANTE",1
"CARABANTES",1
"CARBAJAL",1
"CARCAMOS",1
"CARDOSA",0
"CARIYO",0
"CAROOSA",0
"CARPIO",1
"CARPIOS",0
"CARRANSA",1
"CARRERO",1
"CARRILO",0
"CARRIYO",1
"CARTAGCMA",0
"CARTAJENA",1
"CAS",0
"CASCO",0
"CASERES",1
"CASTANEDA",1
"CASTANEOA",0
"CASTELUNOS",0
"CASTEYANO",0
"CASTEYANOS",1
"CASTEYOM",0
"CASTIYO",1
"CASTRO",1
"CASTUU",0
"CATAJENA",0
"CAUS",0
"CAYEJAS",1
"CAYES",1
"CCNSTANSA",0
"CCNTRERAS",0
"CCRBERA",0
"CCRDCBA",0
"CCRNEJO",0
"CCROERA",0
"CCROGBA",0
"CCROOBA",0
"CCRTES",0
