iteration,systemTime-ms,numObservedEntities,logLikelihood,popSize,aggDist-fname_c1,aggDist-lname_c1,aggDist-by,aggDist-bm,aggDist-bd,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5
0,1602132199073,500,-9.624562938e+03,500,0,0,0,0,0,500,0,0,0,0,0
1,1602132199315,500,-9.627624673e+03,500,0,0,0,2,4,494,6,0,0,0,0
2,1602132199459,499,-9.728867634e+03,500,0,4,0,4,11,481,19,0,0,0,0
3,1602132199605,499,-9.761532262e+03,500,1,6,0,4,14,475,25,0,0,0,0
4,1602132199752,499,-9.819724616e+03,500,2,11,0,11,12,465,34,1,0,0,0
5,1602132199926,498,-9.938052813e+03,500,5,18,4,15,13,449,47,4,0,0,0
6,1602132200033,498,-9.866633292e+03,500,9,20,6,3,8,455,44,1,0,0,0
7,1602132200131,498,-9.826831063e+03,500,6,20,4,2,8,460,40,0,0,0,0
8,1602132200227,497,-9.817324122e+03,500,3,18,3,1,12,463,37,0,0,0,0
9,1602132200318,496,-9.916960475e+03,500,5,27,3,2,20,443,57,0,0,0,0
10,1602132201516,495,-9.885727918e+03,500,3,29,4,0,17,447,53,0,0,0,0
11,1602132201629,495,-9.820382548e+03,500,3,26,4,2,6,462,35,3,0,0,0
12,1602132201733,495,-9.781441018e+03,500,1,27,3,0,6,465,33,2,0,0,0
13,1602132201856,495,-9.804096533e+03,500,1,31,2,0,9,457,43,0,0,0,0
14,1602132201937,495,-9.906890767e+03,500,3,31,8,0,12,448,50,2,0,0,0
15,1602132201999,495,-9.873156720e+03,500,2,30,6,2,9,452,47,1,0,0,0
16,1602132202055,494,-9.984696293e+03,500,0,32,17,3,11,439,59,2,0,0,0
17,1602132202115,494,-1.007438935e+04,500,1,35,19,11,14,424,72,4,0,0,0
18,1602132202176,492,-1.012170802e+04,500,0,46,15,8,23,412,84,4,0,0,0
19,1602132202337,492,-1.012345669e+04,500,0,52,14,11,19,408,88,4,0,0,0
20,1602132202643,491,-1.010077655e+04,500,1,52,13,8,21,414,77,9,0,0,0
21,1602132202709,491,-1.015893695e+04,500,1,43,13,11,29,410,83,7,0,0,0
